,Region,Subregion,StationID,Turnout,Percentage
174,Республика Адыгея (Адыгея),Майкопская городская,УИК №175,0.566828903032572,0.7747688243064729
175,Республика Адыгея (Адыгея),Майкопская городская,УИК №176,0.5518977536793184,0.7649122807017544
176,Республика Адыгея (Адыгея),Майкопская городская,УИК №177,0.6291718170580964,0.7760314341846758
177,Республика Адыгея (Адыгея),Майкопская городская,УИК №178,0.65,0.7646153846153846
178,Республика Адыгея (Адыгея),Майкопская городская,УИК №179,0.9127272727272727,0.850597609561753
179,Республика Адыгея (Адыгея),Майкопская городская,УИК №180,0.6732929991356957,0.7792041078305519
180,Республика Адыгея (Адыгея),Майкопская городская,УИК №181,0.7887323943661971,0.8928571428571429
181,Республика Адыгея (Адыгея),Майкопская городская,УИК №182,0.9180483183325439,0.8359133126934984
182,Республика Адыгея (Адыгея),Майкопская городская,УИК №183,0.5515463917525774,0.7502124044180118
183,Республика Адыгея (Адыгея),Майкопская городская,УИК №184,1.0,0.7603686635944701
184,Республика Адыгея (Адыгея),Майкопская городская,УИК №185,1.0,0.7651162790697674
185,Республика Адыгея (Адыгея),Майкопская городская,УИК №186,0.9581589958158996,0.7816593886462883
186,Республика Адыгея (Адыгея),Тахтамукайская,УИК №187,0.9845844504021448,0.9734513274336283
187,Республика Адыгея (Адыгея),Тахтамукайская,УИК №188,0.6020503261882573,0.7530959752321982
188,Республика Адыгея (Адыгея),Тахтамукайская,УИК №189,0.7282889079965607,0.7880755608028335
189,Республика Адыгея (Адыгея),Тахтамукайская,УИК №190,0.7421307506053268,0.8189233278955954
190,Республика Адыгея (Адыгея),Тахтамукайская,УИК №191,0.7715930902111324,0.8208955223880597
191,Республика Адыгея (Адыгея),Тахтамукайская,УИК №192,0.8402777777777778,0.8016528925619835
192,Республика Адыгея (Адыгея),Тахтамукайская,УИК №193,0.7912005965697241,0.8590951932139491
193,Республика Адыгея (Адыгея),Тахтамукайская,УИК №194,0.891156462585034,0.8904034896401308
194,Республика Адыгея (Адыгея),Тахтамукайская,УИК №195,0.8482260183968463,0.8133230054221534
195,Республика Адыгея (Адыгея),Тахтамукайская,УИК №196,0.8966465090709181,0.7976701410177806
196,Республика Адыгея (Адыгея),Тахтамукайская,УИК №197,0.5892575039494471,0.7497765862377123
197,Республика Адыгея (Адыгея),Тахтамукайская,УИК №198,0.8432698217578365,0.8017492711370262
198,Республика Адыгея (Адыгея),Тахтамукайская,УИК №199,0.9197292069632496,0.8464773922187171
199,Республика Адыгея (Адыгея),Тахтамукайская,УИК №200,0.860512129380054,0.8104933437744715
200,Республика Адыгея (Адыгея),Тахтамукайская,УИК №201,0.7408906882591093,0.825136612021858
201,Республика Адыгея (Адыгея),Тахтамукайская,УИК №202,0.8929503916449086,0.8742690058479532
202,Республика Адыгея (Адыгея),Тахтамукайская,УИК №203,1.0,0.8718381112984823
203,Республика Адыгея (Адыгея),Тахтамукайская,УИК №204,0.8493150684931506,0.7258064516129032
204,Республика Адыгея (Адыгея),Тахтамукайская,УИК №205,0.8338368580060423,0.9782608695652174
205,Республика Адыгея (Адыгея),Тахтамукайская,УИК №206,0.7932773109243697,0.8283898305084746
206,Республика Адыгея (Адыгея),Тахтамукайская,УИК №207,0.516969696969697,0.7514654161781946
207,Республика Адыгея (Адыгея),Тахтамукайская,УИК №208,0.7941176470588235,0.8436213991769548
208,Республика Адыгея (Адыгея),Тахтамукайская,УИК №209,0.8046928916494134,0.8366209262435678
209,Республика Адыгея (Адыгея),Тахтамукайская,УИК №210,0.8344086021505376,0.8592783505154639
210,Республика Адыгея (Адыгея),Тахтамукайская,УИК №211,0.7542857142857143,0.806060606060606
211,Республика Адыгея (Адыгея),Тахтамукайская,УИК №212,0.84744469870328,0.7551755175517552
212,Республика Адыгея (Адыгея),Тахтамукайская,УИК №213,0.8158890290037831,0.857032457496136
213,Республика Адыгея (Адыгея),Тахтамукайская,УИК №214,0.7237479806138933,0.8206845238095238
214,Республика Адыгея (Адыгея),Тахтамукайская,УИК №215,0.6830932524639879,0.781354051054384
215,Республика Адыгея (Адыгея),Тахтамукайская,УИК №216,0.8956043956043956,0.8404907975460123
216,Республика Адыгея (Адыгея),Тахтамукайская,УИК №217,0.9201009251471826,0.8482632541133455
217,Республика Адыгея (Адыгея),Тахтамукайская,УИК №218,0.8303411131059246,0.8464864864864865
218,Республика Адыгея (Адыгея),Тахтамукайская,УИК №219,0.6407766990291263,0.7083333333333334
219,Республика Адыгея (Адыгея),Тахтамукайская,УИК №220,0.8705882352941177,0.8141891891891891
220,Республика Адыгея (Адыгея),Тахтамукайская,УИК №221,0.8667520819987188,0.7945306725794531
221,Республика Адыгея (Адыгея),Тахтамукайская,УИК №222,0.8769611890999174,0.8088512241054614
222,Республика Адыгея (Адыгея),Тахтамукайская,УИК №223,0.8877551020408163,0.7448275862068966
223,Республика Адыгея (Адыгея),Тахтамукайская,УИК №224,0.9004739336492891,0.6894736842105263
224,Республика Адыгея (Адыгея),Тахтамукайская,УИК №225,0.8835616438356164,0.810077519379845
225,Республика Адыгея (Адыгея),Тахтамукайская,УИК №276,0.7315217391304348,0.7578008915304606
226,Республика Адыгея (Адыгея),Теучежская,УИК №226,0.5788135593220339,0.7657393850658858
227,Республика Адыгея (Адыгея),Теучежская,УИК №227,0.8412189254210104,0.7940896091515729
228,Республика Адыгея (Адыгея),Теучежская,УИК №228,0.8565891472868217,0.9276018099547512
229,Республика Адыгея (Адыгея),Теучежская,УИК №229,0.9696969696969697,0.9821428571428571
230,Республика Адыгея (Адыгея),Теучежская,УИК №230,0.956140350877193,0.9908256880733946
231,Республика Адыгея (Адыгея),Теучежская,УИК №231,0.9575757575757575,0.9620253164556962
232,Республика Адыгея (Адыгея),Теучежская,УИК №232,0.9949409780775716,0.9813559322033898
233,Республика Адыгея (Адыгея),Теучежская,УИК №233,0.9722689075630252,0.8599827139152982
234,Республика Адыгея (Адыгея),Теучежская,УИК №234,0.9812353401094606,0.9760956175298805
235,Республика Адыгея (Адыгея),Теучежская,УИК №235,0.9198966408268734,0.6966292134831461
236,Республика Адыгея (Адыгея),Теучежская,УИК №236,0.927536231884058,0.96875
237,Республика Адыгея (Адыгея),Теучежская,УИК №237,0.9912280701754386,0.9808259587020649
238,Республика Адыгея (Адыгея),Теучежская,УИК №238,0.9908026755852842,0.9578059071729957
239,Республика Адыгея (Адыгея),Теучежская,УИК №239,0.9611650485436893,0.9595959595959596
240,Республика Адыгея (Адыгея),Теучежская,УИК №240,0.9794776119402985,0.8895238095238095
241,Республика Адыгея (Адыгея),Теучежская,УИК №241,0.9333333333333333,0.9025974025974026
242,Республика Адыгея (Адыгея),Теучежская,УИК №242,0.9156626506024096,0.881578947368421
243,Республика Адыгея (Адыгея),Теучежская,УИК №243,0.9884726224783862,0.9300291545189504
244,Республика Адыгея (Адыгея),Теучежская,УИК №244,0.9143054595715273,0.8359788359788359
245,Республика Адыгея (Адыгея),Теучежская,УИК №245,0.8422131147540983,0.9172749391727494
246,Республика Адыгея (Адыгея),Теучежская,УИК №246,0.8717948717948718,0.9352941176470588
247,Республика Адыгея (Адыгея),Шовгеновская,УИК №247,0.9674620390455532,0.9013452914798207
